"name"	"category"	"classification"	"pid"	"exitCode"	"runtimeMs"	"command"	"pngCount"	"jsonCount"	"binCount"	"outputs"
"slice_two_cov_layerall"	"slice_validation"	"EXIT_NONZERO"	"176112"	""	"1884"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=two_layer --avboit-test-case=two_a050_050 --avboit-analytic-layer-filter=all"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layerall.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layerall.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layerall.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layerall.stdout.txt"
"slice_two_cov_layer0"	"slice_validation"	"EXIT_NONZERO"	"173476"	""	"1782"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=two_layer --avboit-test-case=two_a050_050 --avboit-analytic-layer-filter=0"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer0.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer0.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layer0.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layer0.stdout.txt"
"slice_two_cov_layer1"	"slice_validation"	"EXIT_NONZERO"	"176712"	""	"1775"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=two_layer --avboit-test-case=two_a050_050 --avboit-analytic-layer-filter=1"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer1.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer1.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layer1.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_cov_layer1.stdout.txt"
"slice_two_z_layer0"	"slice_validation"	"EXIT_NONZERO"	"173724"	""	"1756"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=6 --avboit-test-scene=two_layer --avboit-test-case=two_a050_050 --avboit-analytic-layer-filter=0"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer0.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer0.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_z_layer0.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_z_layer0.stdout.txt"
"slice_two_z_layer1"	"slice_validation"	"EXIT_NONZERO"	"177368"	""	"1762"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=6 --avboit-test-scene=two_layer --avboit-test-case=two_a050_050 --avboit-analytic-layer-filter=1"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer1.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenetwo_layer_Casetwo_a050_050_Ordernormal_Layer1.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_z_layer1.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_two_z_layer1.stdout.txt"
"slice_three_cov_layerall"	"slice_validation"	"EXIT_NONZERO"	"58880"	""	"1722"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=three_layer --avboit-test-case=three_a050_050_050 --avboit-analytic-layer-filter=all"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layerall.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layerall.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layerall.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layerall.stdout.txt"
"slice_three_cov_layer0"	"slice_validation"	"EXIT_NONZERO"	"174544"	""	"1763"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=three_layer --avboit-test-case=three_a050_050_050 --avboit-analytic-layer-filter=0"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer0.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer0.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer0.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer0.stdout.txt"
"slice_three_cov_layer1"	"slice_validation"	"EXIT_NONZERO"	"175188"	""	"1755"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=three_layer --avboit-test-case=three_a050_050_050 --avboit-analytic-layer-filter=1"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer1.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer1.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer1.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer1.stdout.txt"
"slice_three_cov_layer2"	"slice_validation"	"EXIT_NONZERO"	"175208"	""	"1756"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=2 --avboit-test-scene=three_layer --avboit-test-case=three_a050_050_050 --avboit-analytic-layer-filter=2"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer2.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug2_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer2.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer2.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_cov_layer2.stdout.txt"
"slice_three_z_layer0"	"slice_validation"	"EXIT_NONZERO"	"164932"	""	"1760"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-multiplier=1.0 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation --avboit-commit-sha=8482cd69 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\bootstrap --avboit-debug-view=6 --avboit-test-scene=three_layer --avboit-test-case=three_a050_050_050 --avboit-analytic-layer-filter=0"	"1"	"1"	"0"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer0.json;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\DX12_Mode5_1920x1080_Debug6_Dirlegacy_Mul1.0_Frame60_8482cd69_Scenethree_layer_Casethree_a050_050_050_Ordernormal_Layer0.png;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_z_layer0.stderr.txt;D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6S_WeightPropagation_20260628T110901Z\slice_validation\slice_three_z_layer0.stdout.txt"
