"name"	"classification"	"processCreated"	"pid"	"exitCode"	"runtimeMs"	"workingDirectory"	"command"	"screenshotCount"	"screenshots"	"bootstrapLogs"	"stdout"	"stderr"
"01_bare_dx12"	"APP_HUNG_OR_CAPTURE_TIMEOUT"	"True"	"176892"	""	"10026"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"0"	""	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134228_176892.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\01_bare_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\01_bare_dx12.stderr.txt"
"02_mode0_dx12"	"APP_HUNG_OR_CAPTURE_TIMEOUT"	"True"	"173060"	""	"10018"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=0 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"0"	""	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134238_173060.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\02_mode0_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\02_mode0_dx12.stderr.txt"
"03_mode5_dx12"	"APP_HUNG_OR_CAPTURE_TIMEOUT"	"True"	"176672"	""	"10019"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"0"	""	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134248_176672.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\03_mode5_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\03_mode5_dx12.stderr.txt"
"04_capture_mode0_dx12"	"APP_EXITED_ZERO_CAPTURED"	"True"	"178172"	"unreported"	"1794"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=0 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap --avboit-commit-sha=fd47644c --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\DX12_Mode0_1920x1080_Frame60_fd47644c.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134258_178172.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\04_capture_mode0_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\04_capture_mode0_dx12.stderr.txt"
"05_capture_mode5_dx12"	"APP_EXITED_ZERO_CAPTURED"	"True"	"172908"	"unreported"	"1735"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap --avboit-commit-sha=fd47644c --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\DX12_Mode5_1920x1080_Debug0_Dirlegacy_Mul1.0_Frame60_fd47644c.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134300_172908.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\05_capture_mode5_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\05_capture_mode5_dx12.stderr.txt"
"06_capture_single_dx12"	"APP_EXITED_ZERO_CAPTURED"	"True"	"176132"	"unreported"	"1734"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap --avboit-commit-sha=fd47644c --avboit-test-scene=single_layer --avboit-test-case=single_a050 --avboit-transmittance-direction=legacy --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\DX12_Mode5_1920x1080_Debug0_Dirlegacy_Mul1.0_Frame60_fd47644c_Scenesingle_layer_Casesingle_a050_Ordernormal_Layerall.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134302_176132.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\06_capture_single_dx12.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\06_capture_single_dx12.stderr.txt"
"07_bare_vulkan"	"APP_HUNG_OR_CAPTURE_TIMEOUT"	"True"	"176628"	""	"10008"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --vulkan --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"0"	""	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134303_176628.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\07_bare_vulkan.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\07_bare_vulkan.stderr.txt"
"08_capture_mode0_vulkan"	"APP_EXITED_ZERO_CAPTURED"	"True"	"171956"	"unreported"	"734"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --vulkan --transparency-mode=0 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap --avboit-commit-sha=fd47644c --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\Vulkan_Mode0_1920x1080_Frame60_fd47644c.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134313_171956.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\08_capture_mode0_vulkan.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\08_capture_mode0_vulkan.stderr.txt"
"09_capture_mode5_vulkan"	"APP_EXITED_ZERO_CAPTURED"	"True"	"173492"	"unreported"	"739"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --vulkan --transparency-mode=5 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap --avboit-commit-sha=fd47644c --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\Vulkan_Mode5_1920x1080_Debug0_Dirlegacy_Mul1.0_Frame60_fd47644c.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\bootstrap\avboit_bootstrap_20260628T134314_173492.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\09_capture_mode5_vulkan.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\bootstrap\09_capture_mode5_vulkan.stderr.txt"
"DX12_single_single_a025_mode0_legacy"	"APP_EXITED_ZERO_CAPTURED"	"True"	"174968"	"unreported"	"1776"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency"	"D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe --d3d12 --transparency-mode=0 --avboit-auto-capture --avboit-capture-hide-ui --avboit-capture-frame=60 --avboit-fixed-delta=0.0166666667 --avboit-random-seed=1337 --avboit-output-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic --avboit-commit-sha=fd47644c --avboit-test-scene=single_layer --avboit-test-case=single_a025 --avboit-transmittance-direction=legacy --avboit-bootstrap-log-dir=D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic\bootstrap"	"1"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic\DX12_Mode0_1920x1080_Frame60_fd47644c_Scenesingle_layer_Casesingle_a025_Ordernormal_Layerall.png"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic\bootstrap\avboit_bootstrap_20260628T134315_174968.log"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic\DX12_single_single_a025_mode0_legacy.stdout.txt"	"D:\HTC\avboit\The-Forge\LocalVisualResults\P2_6R_DirectionClosure_20260628T054228Z\analytic\DX12_single_single_a025_mode0_legacy.stderr.txt"
