case,debugView,pixels,min,p05,median,p95,max,alphaMedian,deviceDepthCpu,legacyZCpu,reverseZCpu,targetSlice,reverseZMedianSliceApprox,legacyZMedianSliceApprox,capture
slice32,25,15007,0.491943359375,0.5078125,0.5078125,0.5078125,0.5234375,0.5,0.016623965,63,32,32,31.9921875,,DX12_Mode5_1920x1080_Debug25_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice32_Ordernormal_Layerall
slice16,25,15007,0.238037109375,0.25390625,0.25390625,0.25390625,0.269775390625,0.5,0.0018717,63,16,16,15.99609375,,DX12_Mode5_1920x1080_Debug25_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice16_Ordernormal_Layerall
slice16,22,15007,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.5,0.0018717,63,16,16,,,DX12_Mode5_1920x1080_Debug22_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice16_Ordernormal_Layerall
near_1_1,25,230695,0.9521484375,0.9677734375,0.98388671875,1.0,1.0,0.5,0.90906626,45,63,63,61.98486328125,,DX12_Mode5_1920x1080_Debug25_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casenear_1_1_Ordernormal_Layerall
slice48,22,15007,0.98095703125,0.9814453125,0.982421875,0.9833984375,0.98388671875,0.5,0.133944377,62,48,48,,,DX12_Mode5_1920x1080_Debug22_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice48_Ordernormal_Layerall
near_1_1,23,230695,0.9443359375,0.95556640625,0.98095703125,0.998046875,1.0,0.5,0.90906626,45,63,63,,,DX12_Mode5_1920x1080_Debug23_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casenear_1_1_Ordernormal_Layerall
far_3500,24,15007,1.0,1.0,1.0,1.0,1.0,0.5,3.5685e-05,63,1,0,,63.0,DX12_Mode5_1920x1080_Debug24_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casefar_3500_Ordernormal_Layerall
slice16,21,15007,0.001720428466796875,0.0017614364624023438,0.0018825531005859375,0.002002716064453125,0.0020465850830078125,0.5,0.0018717,63,16,16,,,DX12_Mode5_1920x1080_Debug21_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice16_Ordernormal_Layerall
far_3500,21,15007,1.537799835205078e-05,2.086162567138672e-05,3.719329833984375e-05,5.340576171875e-05,5.936622619628906e-05,0.5,3.5685e-05,63,1,0,,,DX12_Mode5_1920x1080_Debug21_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casefar_3500_Ordernormal_Layerall
near_1_1,22,230695,0.00014352798461914062,0.48291015625,0.7666015625,0.857421875,0.87939453125,0.5,0.90906626,45,63,63,,,DX12_Mode5_1920x1080_Debug22_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casenear_1_1_Ordernormal_Layerall
far_3500,22,15007,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.99951171875,0.5,3.5685e-05,63,1,0,,,DX12_Mode5_1920x1080_Debug22_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casefar_3500_Ordernormal_Layerall
slice48,24,15007,0.98388671875,0.98388671875,0.98388671875,0.98388671875,0.98388671875,0.5,0.133944377,62,48,48,,61.98486328125,DX12_Mode5_1920x1080_Debug24_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice48_Ordernormal_Layerall
slice32,23,15007,0.498779296875,0.5009765625,0.50830078125,0.5146484375,0.51708984375,0.5,0.016623965,63,32,32,,,DX12_Mode5_1920x1080_Debug23_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice32_Ordernormal_Layerall
far_3500,23,15007,0.007221221923828125,0.0096588134765625,0.0167388916015625,0.0233612060546875,0.02569580078125,0.5,3.5685e-05,63,1,0,,,DX12_Mode5_1920x1080_Debug23_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casefar_3500_Ordernormal_Layerall
slice32,22,15007,0.99755859375,0.99755859375,0.99755859375,0.998046875,0.998046875,0.5,0.016623965,63,32,32,,,DX12_Mode5_1920x1080_Debug22_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice32_Ordernormal_Layerall
slice16,23,15007,0.2489013671875,0.251220703125,0.25830078125,0.264892578125,0.267333984375,0.5,0.0018717,63,16,16,,,DX12_Mode5_1920x1080_Debug23_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice16_Ordernormal_Layerall
slice32,21,15007,0.0154266357421875,0.0157470703125,0.0167083740234375,0.017669677734375,0.0180206298828125,0.5,0.016623965,63,32,32,,,DX12_Mode5_1920x1080_Debug21_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice32_Ordernormal_Layerall
far_3500,25,15007,0.0,0.0,0.015869140625,0.015869140625,0.015869140625,0.5,3.5685e-05,63,1,0,0.999755859375,,DX12_Mode5_1920x1080_Debug25_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casefar_3500_Ordernormal_Layerall
near_1_1,24,230695,0.0,0.47607421875,0.77734375,0.85693359375,0.888671875,0.5,0.90906626,45,63,63,,48.97265625,DX12_Mode5_1920x1080_Debug24_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casenear_1_1_Ordernormal_Layerall
slice48,23,15007,0.74853515625,0.7509765625,0.75830078125,0.7646484375,0.76708984375,0.5,0.133944377,62,48,48,,,DX12_Mode5_1920x1080_Debug23_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice48_Ordernormal_Layerall
slice48,21,15007,0.1243896484375,0.126953125,0.1346435546875,0.1422119140625,0.14501953125,0.5,0.133944377,62,48,48,,,DX12_Mode5_1920x1080_Debug21_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice48_Ordernormal_Layerall
slice16,24,15007,1.0,1.0,1.0,1.0,1.0,0.5,0.0018717,63,16,16,,63.0,DX12_Mode5_1920x1080_Debug24_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice16_Ordernormal_Layerall
slice32,24,15007,1.0,1.0,1.0,1.0,1.0,0.5,0.016623965,63,32,32,,63.0,DX12_Mode5_1920x1080_Debug24_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice32_Ordernormal_Layerall
slice48,25,15007,0.74560546875,0.76171875,0.76171875,0.76171875,0.77734375,0.5,0.133944377,62,48,48,47.98828125,,DX12_Mode5_1920x1080_Debug25_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Caseslice48_Ordernormal_Layerall
near_1_1,21,230695,0.6318359375,0.69287109375,0.85546875,0.986328125,0.99951171875,0.5,0.90906626,45,63,63,,,DX12_Mode5_1920x1080_Debug21_Dirlegacy_Depthlegacy_Mul1.0_Frame60_dbeb4094_Scenedepth_calibration_Casenear_1_1_Ordernormal_Layerall
