"ExitCode","Capture","Error","Status","Exe","Label","Shot"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\01_Transformations\01_Transformations.exe","01_Transformations","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\01_Transformations\Screenshots\UT_01_Transformations_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\03_MultiThread\03_MultiThread.exe","03_MultiThread","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\03_MultiThread\Screenshots\UT_03_MultiThread_DX12_Default_01.png"
"","NOT_CAPTURED","","EXITED_BEFORE_CAPTURE_AFTER_WAIT","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\06_MaterialPlayground\06_MaterialPlayground.exe","06_MaterialPlayground","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\06_MaterialPlayground\Screenshots\UT_06_MaterialPlayground_DX12_Default_01.png"
"","NOT_CAPTURED","","EXITED_BEFORE_CAPTURE_AFTER_WAIT","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\09_LightShadowPlayground\09_LightShadowPlayground.exe","09_LightShadowPlayground","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\09_LightShadowPlayground\Screenshots\UT_09_LightShadowPlayground_DX12_Default_01.png"
"","NOT_CAPTURED","","EXITED_BEFORE_CAPTURE_AFTER_WAIT","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\10_ScreenSpaceReflections\10_ScreenSpaceReflections.exe","10_ScreenSpaceReflections","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\10_ScreenSpaceReflections\Screenshots\UT_10_ScreenSpaceReflections_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\11_LinkedMultiGPU\11_LinkedMultiGPU.exe","11_LinkedMultiGPU","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\11_LinkedMultiGPU\Screenshots\UT_11_LinkedMultiGPU_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\11a_UnlinkedMultiGPU\11a_UnlinkedMultiGPU.exe","11a_UnlinkedMultiGPU","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\11a_UnlinkedMultiGPU\Screenshots\UT_11a_UnlinkedMultiGPU_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\12_ZipFileSystem\12_ZipFileSystem.exe","12_ZipFileSystem","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\12_ZipFileSystem\Screenshots\UT_12_ZipFileSystem_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\14_WaveIntrinsics\14_WaveIntrinsics.exe","14_WaveIntrinsics","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\14_WaveIntrinsics\Screenshots\UT_14_WaveIntrinsics_DX12_Default_01.png"
"","CAPTURED_WINDOW_PRINTWINDOW","","WINDOW_READY;CLOSED","D:\HTC\avboit\The-Forge\Examples_3\Unit_Tests\PC Visual Studio 2019\x64\Release\15_Transparency\15_Transparency.exe","15_Transparency","D:\HTC\avboit\TheForge_1.58_Baseline_Report\VisualResults\15_Transparency\Screenshots\UT_15_Transparency_DX12_Default_01.png"
